Variable,Parameter,Estimate,SE,$t_{value}$
$B_{root}$,log10(stand.age),10.34,0.93,11.14
,BiomeTropical broadleaf,-1.47,1.53,-0.96
,BiomeTemperate broadleaf,-8.2,1.69,-4.84
,BiomeTemperate conifer,-9.72,1.59,-6.13
,BiomeBoreal conifer,-5.86,3.98,-1.47
,log10(stand.age):BiomeTemperate broadleaf,2.04,1.4,1.45
,log10(stand.age):BiomeTemperate conifer,0.81,1.36,0.59
,log10(stand.age):BiomeBoreal conifer,-0.19,2.49,-0.08
$B_{root-coarse}$,log10(stand.age),5.78,1.01,5.7
,BiomeTropical broadleaf,-0.5,4.71,-0.11
,BiomeTemperate broadleaf,5.65,3.07,1.84
,BiomeTemperate conifer,-16.45,8.23,-2
,BiomeBoreal conifer,-61.67,8.54,-7.22
,log10(stand.age):BiomeTemperate broadleaf,-5.56,1.64,-3.39
,log10(stand.age):BiomeTemperate conifer,15.29,5.89,2.6
,log10(stand.age):BiomeBoreal conifer,33.3,4.28,7.79
$B_{root-fine}$,log10(stand.age),0.96,0.37,2.62
,BiomeTropical broadleaf,1.37,0.67,2.05
,BiomeTemperate broadleaf,2.24,0.5,4.46
,BiomeTemperate conifer,5.94,0.49,12.11
,BiomeBoreal conifer,0.51,2.29,0.22
,log10(stand.age):BiomeTemperate broadleaf,-0.81,0.45,-1.81
,log10(stand.age):BiomeTemperate conifer,-3.27,0.42,-7.75
,log10(stand.age):BiomeBoreal conifer,0.14,1.32,0.11
$DW_{tot}$,log10(stand.age),2.6,2.86,0.91
,BiomeTropical broadleaf,2.1,4.04,0.52
,BiomeTemperate broadleaf,18.37,9.48,1.94
,log10(stand.age):BiomeTemperate broadleaf,-1.49,5.38,-0.28
$DW_{standing}$,-,-,-,-
$DW_{down}$,log10(stand.age),2.87,1.72,1.67
,BiomeTropical broadleaf,4.26,3.59,1.19
,BiomeTemperate broadleaf,15.46,12.05,1.28
,BiomeTemperate conifer,45.37,6.7,6.77
,BiomeBoreal conifer,45.22,11.02,4.1
,log10(stand.age):BiomeTemperate broadleaf,-9.13,7.81,-1.17
,log10(stand.age):BiomeTemperate conifer,-13.93,3.46,-4.03
,log10(stand.age):BiomeBoreal conifer,-22.37,7.06,-3.17
$OL$,log10(stand.age),0.46,0.84,0.55
,BiomeTropical broadleaf,3.5,2.32,1.51
,BiomeTemperate broadleaf,20.09,3.53,5.69
,BiomeTemperate conifer,-1.69,3.05,-0.55
,BiomeBoreal conifer,28.53,6.53,4.37
,log10(stand.age):BiomeTemperate broadleaf,-4.84,2.24,-2.16
,log10(stand.age):BiomeTemperate conifer,6.56,1.73,3.79
,log10(stand.age):BiomeBoreal conifer,4.77,4.14,1.15
