,Global terrestrial,,Global forests,,Tropical,,Temperate,,Boreal,,,,,,,,,
,,,-2.41,0.42,-1.19,0.41,-0.72,0.08,-0.50,0.08,1990-2007,,,,,Pan et al. 2011,,
,,,-2.5,0.36,-1.33,0.35,-0.67,0.08,-0.50,0.08,1990-1999,,,,,Pan et al. 2011,,
,,,-2.3,0.49,-1.02,0.47,-0.78,0.09,-0.50,0.08,2000-2007,,,,,Pan et al. 2011,,
,,,,,,,,,,,,,,,,,,
C gain: forest regrowth,,,,,-1.64,0.52,,,,,1990-2007,,,,,Pan et al. 2011,Schimel et al. 2015,
,,,,,-1.57,0.5,,,,,1990-1999,,,,,Pan et al. 2011,,
,,,,,-1.72,0.54,,,,,2000-2007,,,,,Pan et al. 2011,,
,,,,,,,,,,,,,,,,,,
C gain: regrowth + intact forest sink,NI,NI,NI,NI,-0.4365,0.031,NI,NI,NI,NI,2003-2014,,,MODIS + LiDAR + machine learning,conservative estimate because captures only net change per grid cell; would miss any trends in biomass that are non-significant in MODIS analysis,(Baccini et al 2017),,
,,,-4.05,0.67,,,,,,,1990-2007,,,,"excludes extratropical regrowth, which they say is balanced by deforestation (give citation)",Pan et al. 2011,,
,,,-4.07,0.62,,,,,,,1990-1999,,,,"excludes extratropical regrowth, which they say is balanced by deforestation (give citation)",Pan et al. 2011,,
,,,-4.02,0.73,,,,,,,2000-2007,,,,"excludes extratropical regrowth, which they say is balanced by deforestation (give citation)",Pan et al. 2011,,
,-3,0.8,,,,,,,,,2007-2016,S_LAND,std,residual,residual from anthropogenic sources and sinks in atmosphere & ocean,(Le Quéré et al 2017),,
,,,,,,,,,,,,,,,,,,
Net ∆C in terrestrial vegetation,-,,-,,0.4252,0.092,NI,NI,NI,NI,2003-2014,,,MODIS + LiDAR + machine learning, would miss any trends in biomass that are non-significant in MODIS analysis (KAT),(Baccini et al 2017),,
,,,-1.11,0.82,0.11,,-0.72,0.08,-0.50,0.08,1990-2007,,,,,Pan et al. 2011,,
,,,-1.04,0.79,0.13,,-0.67,0.08,-0.50,0.08,1990-1999,,,,,Pan et al. 2011,,
,,,-1.2,0.85,0.08,,-0.78,0.09,-0.50,0.08,2000-2007,,,,,Pan et al. 2011,,
,,,,,,,,,,,,,,,,,,
net land sink (),-1.7,,-,,-,,-,,-,,2007-2016,,,land sink minus deforestation,,(Le Quéré et al 2017),,
,-1.3,,-1.3,,-0.1,,-1.2±0.1 (combined with boreal),,combined withh temperate,,1990-2007,,,,says models & observations spanning this period suggest tropical + souther net fluxes of 0 to 0.5 Pg C yr-1,Schimel et al. 2015,,Baccini et al. 2017 not strictly comparable because theirs only includes ag biomass and their may be lags between deforestation and emission. But the estimates still disagree
,,,,,,,,,,,,,,,,,,
Potential ∆NEP from climate change,,,,,~1 ± 2 ***,,,,,,2100,,,,***rough approximation from visual reading of graph,(Cavaleri et al 2015),,
Potential change in net ∆C from forest conservation/ reforestation,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
**OTHER**,,,,,,,,,,,,,,,,,,
fossil fuel emissions,9.4,0.5,,,,,,,,,2007-2016 ,E_FF,,,,(Le Quéré et al 2017),,
,,,,,,,,,,,,,,,,,,
C gain/ fossil fuel emissions ,0.319148936,,,,,,,,,,,,,,,,,
C gain/ (fossil fuel emissions + deforestation),0.280373832,,0.375700935,,,,,,,,,,,,,,,
GPP/ (fossil fuel emissions + deforestation),,,5.514018692,,,,,,,,,,,,,,,
GPP/ (fossil fuel emissions ),,,6.276595745,,,,,,,,,,,,,,,
